unidade;mes;ano;grau;escore;predicao_obito;saidas_rn;obitos_ocorridos;obitos_esperados
HRJP;maio;2020;II;6 a 10;55,9;5;0;2,80
HRJP;maio;2020;III;11 a 5 ;73,1;0;0;0,00
HRJP;maio;2020;IV;> 15;100;1;1;1,00
HRJP;junho;2020;I;0 a 5;9,3;2;0;0,19
HRJP;junho;2020;II;6 a 10;55,9;0;0;0,00
HRJP;junho;2020;III;11 a 5 ;73,1;1;0;0,73
HRJP;junho;2020;IV;> 15;100;0;0;0,00
HRJP;julho;2020;I;0 a 5;9,3;2;0;0,19
HRJP;julho;2020;II;6 a 10;55,9;0;0;0,00
HRJP;julho;2020;III;11 a 5 ;73,1;0;0;0,00
HRJP;julho;2020;IV;> 15;100;0;0;0,00
HRJP;agosto;2020;I;0 a 5;9,3;1;0;0,09
HRJP;agosto;2020;II;6 a 10;55,9;4;0;2,24
HRJP;agosto;2020;III;11 a 5 ;73,1;1;1;0,73
HRJP;agosto;2020;IV;> 15;100;0;0;0,00
HRJP;setembro;2020;I;0 a 5;9,3;0;0;0,00
HRJP;setembro;2020;II;6 a 10;55,9;0;0;0,00
HRJP;setembro;2020;III;11 a 5 ;73,1;0;0;0,00
HRJP;setembro;2020;IV;> 15;100;0;0;0,00
HRJP;outubro;2020;I;0 a 5;9,3;4;0;0,37
HRJP;outubro;2020;II;6 a 10;55,9;1;0;0,56
HRJP;outubro;2020;III;11 a 5 ;73,1;0;0;0,00
HRJP;outubro;2020;IV;> 15;100;0;0;0,00
HRJP;novembro;2020;I;0 a 5;9,3;1;0;0,09
HRJP;novembro;2020;II;6 a 10;55,9;1;0;0,56
HRJP;novembro;2020;III;11 a 5 ;73,1;1;0;0,73
HRJP;novembro;2020;IV;> 15;100;0;0;0,00
HRJP;dezembro;2020;I;0 a 5;9,3;1;0;0,09
HRJP;dezembro;2020;II;6 a 10;55,9;4;0;2,24
HRJP;dezembro;2020;III;11 a 5 ;73,1;3;1;2,19
HRJP;dezembro;2020;IV;> 15;100;0;0;0,00
